Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_sorting_strategy,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,Tissue
SRR12892523,RNA-Seq,51,49338879,PRJNA671700,SAMN16546721,20920204,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357521,GSM4855980,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855980,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892524,RNA-Seq,51,23046696,PRJNA671700,SAMN16546720,10724973,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357522,GSM4855981,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855981,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892525,RNA-Seq,51,148297545,PRJNA671700,SAMN16546719,64756861,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9357523,GSM4855982,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855982,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892526,RNA-Seq,51,49367235,PRJNA671700,SAMN16546718,21545781,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9357524,GSM4855983,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855983,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892527,RNA-Seq,51,58551111,PRJNA671700,SAMN16546717,26167388,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9357525,GSM4855984,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855984,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892528,RNA-Seq,51,36285480,PRJNA671700,SAMN16546716,15853530,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357526,GSM4855985,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855985,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892529,RNA-Seq,51,30080055,PRJNA671700,SAMN16546715,13212835,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9357527,GSM4855986,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855986,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892530,RNA-Seq,51,45723540,PRJNA671700,SAMN16546714,20057180,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9357528,GSM4855987,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855987,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892531,RNA-Seq,51,47739315,PRJNA671700,SAMN16546713,20703651,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9357529,GSM4855988,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855988,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892532,RNA-Seq,51,66515118,PRJNA671700,SAMN16546712,31398424,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357530,GSM4855989,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855989,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892533,RNA-Seq,51,48970149,PRJNA671700,SAMN16546711,21467865,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357531,GSM4855990,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855990,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892534,RNA-Seq,51,64526169,PRJNA671700,SAMN16546447,27586369,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9357532,GSM4855991,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855991,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892535,RNA-Seq,51,22588818,PRJNA671700,SAMN16546446,10072556,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9357613,GSM4855992,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855992,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892536,RNA-Seq,51,85116501,PRJNA671700,SAMN16546445,40102113,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9357614,GSM4855993,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855993,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892537,RNA-Seq,51,50779476,PRJNA671700,SAMN16546444,22098347,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357615,GSM4855994,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855994,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892538,RNA-Seq,51,37852965,PRJNA671700,SAMN16546443,16453028,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357616,GSM4855995,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855995,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892539,RNA-Seq,51,42810522,PRJNA671700,SAMN16546442,18703241,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357617,GSM4855996,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855996,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892540,RNA-Seq,51,40105329,PRJNA671700,SAMN16546441,18616924,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9357618,GSM4855997,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855997,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892541,RNA-Seq,51,57823851,PRJNA671700,SAMN16546440,25839265,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9357619,GSM4855998,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855998,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892542,RNA-Seq,51,59183256,PRJNA671700,SAMN16546439,25996796,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357620,GSM4855999,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4855999,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892543,RNA-Seq,51,51953088,PRJNA671700,SAMN16546438,23993800,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9357621,GSM4856000,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856000,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892544,RNA-Seq,51,37286151,PRJNA671700,SAMN16546437,17782528,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9357622,GSM4856001,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856001,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892545,RNA-Seq,51,32714103,PRJNA671700,SAMN16546436,14233754,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9357623,GSM4856002,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856002,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892546,RNA-Seq,51,61349889,PRJNA671700,SAMN16546435,28940797,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9357624,GSM4856003,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856003,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892547,RNA-Seq,51,39913518,PRJNA671700,SAMN16546434,18804750,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357625,GSM4856004,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856004,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892548,RNA-Seq,51,36835668,PRJNA671700,SAMN16546433,16049858,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357626,GSM4856005,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856005,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892549,RNA-Seq,51,92941125,PRJNA671700,SAMN16546432,40271892,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357627,GSM4856006,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856006,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892550,RNA-Seq,51,35954490,PRJNA671700,SAMN16546431,15557798,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9357628,GSM4856007,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856007,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892551,RNA-Seq,51,81357852,PRJNA671700,SAMN16546430,35321757,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9357725,GSM4856008,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856008,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892552,RNA-Seq,51,50893767,PRJNA671700,SAMN16546429,22052547,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357726,GSM4856009,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856009,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892553,RNA-Seq,51,49231014,PRJNA671700,SAMN16546428,21542288,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357727,GSM4856010,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856010,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892554,RNA-Seq,51,99023844,PRJNA671700,SAMN16546427,42509171,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357728,GSM4856011,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856011,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892555,RNA-Seq,51,44596644,PRJNA671700,SAMN16546426,20726505,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357729,GSM4856012,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856012,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892556,RNA-Seq,51,70937481,PRJNA671700,SAMN16546425,30902742,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357730,GSM4856013,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856013,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892557,RNA-Seq,51,40327740,PRJNA671700,SAMN16546424,18096644,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357731,GSM4856014,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856014,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892558,RNA-Seq,51,95067060,PRJNA671700,SAMN16546423,41139941,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9357732,GSM4856015,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856015,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892559,RNA-Seq,51,64696560,PRJNA671700,SAMN16546422,28140756,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9357733,GSM4856016,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856016,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892560,RNA-Seq,51,45346242,PRJNA671700,SAMN16546757,19680650,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357734,GSM4856017,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856017,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892561,RNA-Seq,51,109985835,PRJNA671700,SAMN16546756,47028878,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357735,GSM4856018,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856018,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892562,RNA-Seq,51,68388093,PRJNA671700,SAMN16546755,29570324,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9357736,GSM4856019,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856019,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892563,RNA-Seq,51,95438187,PRJNA671700,SAMN16546754,42598061,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9357737,GSM4856020,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856020,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892564,RNA-Seq,51,45607719,PRJNA671700,SAMN16546737,19729520,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9357738,GSM4856021,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856021,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892565,RNA-Seq,51,34487883,PRJNA671700,SAMN16546736,15164115,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357739,GSM4856022,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856022,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892566,RNA-Seq,51,57454866,PRJNA671700,SAMN16546735,25331401,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9357740,GSM4856023,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856023,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892567,RNA-Seq,51,32007906,PRJNA671700,SAMN16546734,14059884,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9357821,GSM4856024,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856024,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892568,RNA-Seq,51,84866703,PRJNA671700,SAMN16546733,36847782,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357822,GSM4856025,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856025,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892569,RNA-Seq,51,39141888,PRJNA671700,SAMN16546347,18664452,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357823,GSM4856026,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856026,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892570,RNA-Seq,51,30725001,PRJNA671700,SAMN16546346,14516742,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9357824,GSM4856027,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856027,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892571,RNA-Seq,51,73042710,PRJNA671700,SAMN16546345,32052414,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX9357825,GSM4856028,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856028,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892572,RNA-Seq,51,69790542,PRJNA671700,SAMN16546344,30542639,unbiased all viable cell sorting,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX9357826,GSM4856029,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856029,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892573,RNA-Seq,51,35641503,PRJNA671700,SAMN16546343,15493349,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357827,GSM4856030,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856030,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892574,RNA-Seq,51,111029703,PRJNA671700,SAMN16546342,48833332,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357828,GSM4856031,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856031,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892575,RNA-Seq,51,30670533,PRJNA671700,SAMN16546341,13534579,unbiased all viable cell sorting,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX9357829,GSM4856032,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856032,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892576,RNA-Seq,51,68610963,PRJNA671700,SAMN16546340,32242247,unbiased all viable cell sorting,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX9357830,GSM4856033,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856033,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892577,RNA-Seq,51,45590532,PRJNA671700,SAMN16546339,20021151,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357831,GSM4856034,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856034,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892578,RNA-Seq,51,22458768,PRJNA671700,SAMN16546338,10620455,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357832,GSM4856035,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856035,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892579,RNA-Seq,51,22829487,PRJNA671700,SAMN16546337,10075436,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357833,GSM4856036,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856036,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892580,RNA-Seq,51,46662960,PRJNA671700,SAMN16546336,21814905,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9357834,GSM4856037,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856037,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
SRR12892581,RNA-Seq,51,48231465,PRJNA671700,SAMN16546335,21051778,unbiased all viable cell sorting,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX9357835,GSM4856038,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-22T00:00:00Z,GSM4856038,Kidney glomerular single cells - mouse kidney glomeruli (unbiased sorting),SRP288492,C57BL/6J,Kidney glomerulus
