"","Run","assay_type","AvgSpotLen","BioSample","Experiment","sample_name","tissue","Strain","title","description"
"SRR12892402","SRR12892402","RNA-Seq",51,"SAMN16543819","SRX9358191","GSM4856499","Kidney glomerulus","C57BL/6J","196s_K20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892403","SRR12892403","RNA-Seq",51,"SAMN16543818","SRX9358192","GSM4856500","Kidney glomerulus","C57BL/6J","682s_P6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892404","SRR12892404","RNA-Seq",51,"SAMN16543817","SRX9358193","GSM4856501","Kidney glomerulus","C57BL/6J","812s_N20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892405","SRR12892405","RNA-Seq",51,"SAMN16543816","SRX9358194","GSM4856502","Kidney glomerulus","C57BL/6J","555s_H7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892406","SRR12892406","RNA-Seq",51,"SAMN16543815","SRX9358195","GSM4856503","Kidney glomerulus","C57BL/6J","811s_F17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892407","SRR12892407","RNA-Seq",51,"SAMN16543910","SRX9357581","GSM4856504","Kidney glomerulus","C57BL/6J","294s_O12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892408","SRR12892408","RNA-Seq",51,"SAMN16543909","SRX9357582","GSM4856505","Kidney glomerulus","C57BL/6J","812s_A10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892409","SRR12892409","RNA-Seq",51,"SAMN16543908","SRX9357583","GSM4856506","Kidney glomerulus","C57BL/6J","812s_G23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892410","SRR12892410","RNA-Seq",51,"SAMN16543907","SRX9357584","GSM4856507","Kidney glomerulus","C57BL/6J","812s_P11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892411","SRR12892411","RNA-Seq",51,"SAMN16543906","SRX9357585","GSM4856508","Kidney glomerulus","C57BL/6J","682s_J13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892412","SRR12892412","RNA-Seq",51,"SAMN16543905","SRX9357586","GSM4856509","Kidney glomerulus","C57BL/6J","121s_G4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892413","SRR12892413","RNA-Seq",51,"SAMN16543904","SRX9357587","GSM4856510","Kidney glomerulus","C57BL/6J","813s_J15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892414","SRR12892414","RNA-Seq",51,"SAMN16543903","SRX9357588","GSM4856511","Kidney glomerulus","C57BL/6J","121s_M10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892415","SRR12892415","RNA-Seq",51,"SAMN16543902","SRX9357589","GSM4856512","Kidney glomerulus","C57BL/6J","294s_G23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892416","SRR12892416","RNA-Seq",51,"SAMN16543901","SRX9357590","GSM4856513","Kidney glomerulus","C57BL/6J","294s_G10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892417","SRR12892417","RNA-Seq",51,"SAMN16543900","SRX9357591","GSM4856514","Kidney glomerulus","C57BL/6J","299s_K18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892418","SRR12892418","RNA-Seq",51,"SAMN16543899","SRX9357592","GSM4856515","Kidney glomerulus","C57BL/6J","813s_F13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892419","SRR12892419","RNA-Seq",51,"SAMN16543898","SRX9357593","GSM4856516","Kidney glomerulus","C57BL/6J","814s_B11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892420","SRR12892420","RNA-Seq",51,"SAMN16543897","SRX9357594","GSM4856517","Kidney glomerulus","C57BL/6J","299s_H18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892421","SRR12892421","RNA-Seq",51,"SAMN16543896","SRX9357595","GSM4856518","Kidney glomerulus","C57BL/6J","814s_F9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892422","SRR12892422","RNA-Seq",51,"SAMN16543895","SRX9357596","GSM4856519","Kidney glomerulus","C57BL/6J","299s_O14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892423","SRR12892423","RNA-Seq",51,"SAMN16543894","SRX9357693","GSM4856520","Kidney glomerulus","C57BL/6J","294s_A14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892424","SRR12892424","RNA-Seq",51,"SAMN16543893","SRX9357694","GSM4856521","Kidney glomerulus","C57BL/6J","813s_N24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892425","SRR12892425","RNA-Seq",51,"SAMN16543892","SRX9357695","GSM4856522","Kidney glomerulus","C57BL/6J","196s_M14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892426","SRR12892426","RNA-Seq",51,"SAMN16543891","SRX9357696","GSM4856523","Kidney glomerulus","C57BL/6J","299s_L22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892427","SRR12892427","RNA-Seq",51,"SAMN16543890","SRX9357697","GSM4856524","Kidney glomerulus","C57BL/6J","812s_A3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892428","SRR12892428","RNA-Seq",51,"SAMN16543889","SRX9357698","GSM4856525","Kidney glomerulus","C57BL/6J","813s_K10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892429","SRR12892429","RNA-Seq",51,"SAMN16543888","SRX9357699","GSM4856526","Kidney glomerulus","C57BL/6J","813s_H15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892430","SRR12892430","RNA-Seq",51,"SAMN16543887","SRX9357700","GSM4856527","Kidney glomerulus","C57BL/6J","813s_F2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892431","SRR12892431","RNA-Seq",51,"SAMN16543882","SRX9357701","GSM4856528","Kidney glomerulus","C57BL/6J","812s_A4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892432","SRR12892432","RNA-Seq",51,"SAMN16543881","SRX9357702","GSM4856529","Kidney glomerulus","C57BL/6J","294s_E13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892433","SRR12892433","RNA-Seq",51,"SAMN16543880","SRX9357703","GSM4856530","Kidney glomerulus","C57BL/6J","121s_M1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892434","SRR12892434","RNA-Seq",51,"SAMN16543886","SRX9357704","GSM4856531","Kidney glomerulus","C57BL/6J","812s_N9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892435","SRR12892435","RNA-Seq",51,"SAMN16543885","SRX9357705","GSM4856532","Kidney glomerulus","C57BL/6J","814s_F6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892436","SRR12892436","RNA-Seq",51,"SAMN16543884","SRX9357706","GSM4856533","Kidney glomerulus","C57BL/6J","813s_P14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892437","SRR12892437","RNA-Seq",51,"SAMN16543883","SRX9357707","GSM4856534","Kidney glomerulus","C57BL/6J","555s_E10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892438","SRR12892438","RNA-Seq",51,"SAMN16543879","SRX9357708","GSM4856535","Kidney glomerulus","C57BL/6J","299s_H14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892439","SRR12892439","RNA-Seq",51,"SAMN16543878","SRX9357901","GSM4856536","Kidney glomerulus","C57BL/6J","812s_C17","mouse_glom_single_cell_unbiased_rpkms.txt"
