"","Run","assay_type","AvgSpotLen","BioSample","Experiment","sample_name","tissue","Strain","title","description"
"SRR12892604","SRR12892604","RNA-Seq",51,"SAMN16545399","SRX9358089","GSM4856573","Kidney glomerulus","C57BL/6J","812s_E12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892605","SRR12892605","RNA-Seq",51,"SAMN16545398","SRX9358090","GSM4856574","Kidney glomerulus","C57BL/6J","812s_G22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892606","SRR12892606","RNA-Seq",51,"SAMN16545397","SRX9358091","GSM4856575","Kidney glomerulus","C57BL/6J","812s_M23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892607","SRR12892607","RNA-Seq",51,"SAMN16545396","SRX9358092","GSM4856576","Kidney glomerulus","C57BL/6J","121s_E19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892608","SRR12892608","RNA-Seq",51,"SAMN16545395","SRX9358093","GSM4856577","Kidney glomerulus","C57BL/6J","813s_C15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892609","SRR12892609","RNA-Seq",51,"SAMN16545394","SRX9358094","GSM4856578","Kidney glomerulus","C57BL/6J","813s_N16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892610","SRR12892610","RNA-Seq",51,"SAMN16545393","SRX9358095","GSM4856579","Kidney glomerulus","C57BL/6J","294s_O14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892611","SRR12892611","RNA-Seq",51,"SAMN16545392","SRX9358096","GSM4856580","Kidney glomerulus","C57BL/6J","812s_K1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892612","SRR12892612","RNA-Seq",51,"SAMN16545391","SRX9358097","GSM4856581","Kidney glomerulus","C57BL/6J","196s_J15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892613","SRR12892613","RNA-Seq",51,"SAMN16545390","SRX9358098","GSM4856582","Kidney glomerulus","C57BL/6J","298s_J17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892614","SRR12892614","RNA-Seq",51,"SAMN16545389","SRX9358099","GSM4856583","Kidney glomerulus","C57BL/6J","298s_L19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892615","SRR12892615","RNA-Seq",51,"SAMN16545388","SRX9358196","GSM4856584","Kidney glomerulus","C57BL/6J","812s_P19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892616","SRR12892616","RNA-Seq",51,"SAMN16545387","SRX9358197","GSM4856585","Kidney glomerulus","C57BL/6J","811s_B11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892617","SRR12892617","RNA-Seq",51,"SAMN16545386","SRX9358198","GSM4856586","Kidney glomerulus","C57BL/6J","555s_D4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892618","SRR12892618","RNA-Seq",51,"SAMN16545385","SRX9358199","GSM4856587","Kidney glomerulus","C57BL/6J","811s_G15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892619","SRR12892619","RNA-Seq",51,"SAMN16545384","SRX9358200","GSM4856588","Kidney glomerulus","C57BL/6J","813s_O19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892620","SRR12892620","RNA-Seq",51,"SAMN16545383","SRX9358201","GSM4856589","Kidney glomerulus","C57BL/6J","298s_B10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892621","SRR12892621","RNA-Seq",51,"SAMN16545382","SRX9358202","GSM4856590","Kidney glomerulus","C57BL/6J","294s_L21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892622","SRR12892622","RNA-Seq",51,"SAMN16545381","SRX9358203","GSM4856591","Kidney glomerulus","C57BL/6J","813s_O16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892623","SRR12892623","RNA-Seq",51,"SAMN16545380","SRX9358204","GSM4856592","Kidney glomerulus","C57BL/6J","298s_M5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892624","SRR12892624","RNA-Seq",51,"SAMN16545446","SRX9358205","GSM4856593","Kidney glomerulus","C57BL/6J","298s_F1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892625","SRR12892625","RNA-Seq",51,"SAMN16545445","SRX9358206","GSM4856594","Kidney glomerulus","C57BL/6J","812s_O20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892626","SRR12892626","RNA-Seq",51,"SAMN16545444","SRX9358207","GSM4856595","Kidney glomerulus","C57BL/6J","299s_A22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892627","SRR12892627","RNA-Seq",51,"SAMN16545443","SRX9358208","GSM4856596","Kidney glomerulus","C57BL/6J","813s_P16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892628","SRR12892628","RNA-Seq",51,"SAMN16545442","SRX9358209","GSM4856597","Kidney glomerulus","C57BL/6J","813s_P3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892629","SRR12892629","RNA-Seq",51,"SAMN16545441","SRX9358210","GSM4856598","Kidney glomerulus","C57BL/6J","813s_P22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892630","SRR12892630","RNA-Seq",51,"SAMN16545440","SRX9358211","GSM4856599","Kidney glomerulus","C57BL/6J","811s_D6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892631","SRR12892631","RNA-Seq",51,"SAMN16545439","SRX9357597","GSM4856600","Kidney glomerulus","C57BL/6J","298s_E24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892632","SRR12892632","RNA-Seq",51,"SAMN16545438","SRX9357598","GSM4856601","Kidney glomerulus","C57BL/6J","814s_C7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892633","SRR12892633","RNA-Seq",51,"SAMN16545437","SRX9357599","GSM4856602","Kidney glomerulus","C57BL/6J","812s_L18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892634","SRR12892634","RNA-Seq",51,"SAMN16545436","SRX9357600","GSM4856603","Kidney glomerulus","C57BL/6J","294s_I18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892635","SRR12892635","RNA-Seq",51,"SAMN16545435","SRX9357601","GSM4856604","Kidney glomerulus","C57BL/6J","298s_I10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892636","SRR12892636","RNA-Seq",51,"SAMN16545434","SRX9357602","GSM4856605","Kidney glomerulus","C57BL/6J","814s_B12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892637","SRR12892637","RNA-Seq",51,"SAMN16545433","SRX9357603","GSM4856606","Kidney glomerulus","C57BL/6J","811s_O20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892638","SRR12892638","RNA-Seq",51,"SAMN16545432","SRX9357604","GSM4856607","Kidney glomerulus","C57BL/6J","813s_M7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892639","SRR12892639","RNA-Seq",51,"SAMN16545431","SRX9357605","GSM4856608","Kidney glomerulus","C57BL/6J","298s_C5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892640","SRR12892640","RNA-Seq",51,"SAMN16545430","SRX9357606","GSM4856609","Kidney glomerulus","C57BL/6J","298s_J16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892641","SRR12892641","RNA-Seq",51,"SAMN16545429","SRX9357607","GSM4856610","Kidney glomerulus","C57BL/6J","299s_J22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892642","SRR12892642","RNA-Seq",51,"SAMN16545428","SRX9357608","GSM4856611","Kidney glomerulus","C57BL/6J","682s_E3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892643","SRR12892643","RNA-Seq",51,"SAMN16545427","SRX9357609","GSM4856612","Kidney glomerulus","C57BL/6J","812s_C22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892644","SRR12892644","RNA-Seq",51,"SAMN16545426","SRX9357610","GSM4856613","Kidney glomerulus","C57BL/6J","555s_E8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892645","SRR12892645","RNA-Seq",51,"SAMN16545425","SRX9357611","GSM4856614","Kidney glomerulus","C57BL/6J","813s_C2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892646","SRR12892646","RNA-Seq",51,"SAMN16545424","SRX9357612","GSM4856615","Kidney glomerulus","C57BL/6J","299s_I15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892647","SRR12892647","RNA-Seq",51,"SAMN16545423","SRX9357709","GSM4856616","Kidney glomerulus","C57BL/6J","294s_M7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892648","SRR12892648","RNA-Seq",51,"SAMN16545422","SRX9357710","GSM4856617","Kidney glomerulus","C57BL/6J","298s_O16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892649","SRR12892649","RNA-Seq",51,"SAMN16545421","SRX9357711","GSM4856618","Kidney glomerulus","C57BL/6J","811s_N14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892650","SRR12892650","RNA-Seq",51,"SAMN16545420","SRX9357712","GSM4856619","Kidney glomerulus","C57BL/6J","298s_G22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892651","SRR12892651","RNA-Seq",51,"SAMN16545419","SRX9357713","GSM4856620","Kidney glomerulus","C57BL/6J","814s_C5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892652","SRR12892652","RNA-Seq",51,"SAMN16545418","SRX9357714","GSM4856621","Kidney glomerulus","C57BL/6J","298s_F6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892653","SRR12892653","RNA-Seq",51,"SAMN16545417","SRX9357715","GSM4856622","Kidney glomerulus","C57BL/6J","294s_I12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892654","SRR12892654","RNA-Seq",51,"SAMN16545416","SRX9357716","GSM4856623","Kidney glomerulus","C57BL/6J","294s_O9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892655","SRR12892655","RNA-Seq",51,"SAMN16545415","SRX9357717","GSM4856624","Kidney glomerulus","C57BL/6J","812s_M12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892656","SRR12892656","RNA-Seq",51,"SAMN16545414","SRX9357718","GSM4856625","Kidney glomerulus","C57BL/6J","294s_G18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892657","SRR12892657","RNA-Seq",51,"SAMN16545413","SRX9357719","GSM4856626","Kidney glomerulus","C57BL/6J","811s_P13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892658","SRR12892658","RNA-Seq",51,"SAMN16545486","SRX9357720","GSM4856627","Kidney glomerulus","C57BL/6J","813s_H9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892659","SRR12892659","RNA-Seq",51,"SAMN16545485","SRX9357721","GSM4856628","Kidney glomerulus","C57BL/6J","812s_H19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892660","SRR12892660","RNA-Seq",51,"SAMN16545484","SRX9357722","GSM4856629","Kidney glomerulus","C57BL/6J","121s_G6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892661","SRR12892661","RNA-Seq",51,"SAMN16545483","SRX9357723","GSM4856630","Kidney glomerulus","C57BL/6J","294s_I10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892662","SRR12892662","RNA-Seq",51,"SAMN16545482","SRX9357724","GSM4856631","Kidney glomerulus","C57BL/6J","299s_A4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892663","SRR12892663","RNA-Seq",51,"SAMN16545481","SRX9357917","GSM4856632","Kidney glomerulus","C57BL/6J","811s_A15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892664","SRR12892664","RNA-Seq",51,"SAMN16545480","SRX9357918","GSM4856633","Kidney glomerulus","C57BL/6J","196s_M8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892665","SRR12892665","RNA-Seq",51,"SAMN16545479","SRX9357919","GSM4856634","Kidney glomerulus","C57BL/6J","812s_F6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892666","SRR12892666","RNA-Seq",51,"SAMN16545478","SRX9357920","GSM4856635","Kidney glomerulus","C57BL/6J","294s_J23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892667","SRR12892667","RNA-Seq",51,"SAMN16545477","SRX9357921","GSM4856636","Kidney glomerulus","C57BL/6J","682s_F2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892668","SRR12892668","RNA-Seq",51,"SAMN16545476","SRX9357922","GSM4856637","Kidney glomerulus","C57BL/6J","299s_A18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892669","SRR12892669","RNA-Seq",51,"SAMN16545475","SRX9357923","GSM4856638","Kidney glomerulus","C57BL/6J","813s_C4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892670","SRR12892670","RNA-Seq",51,"SAMN16545474","SRX9357924","GSM4856639","Kidney glomerulus","C57BL/6J","813s_G21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892671","SRR12892671","RNA-Seq",51,"SAMN16545473","SRX9357925","GSM4856640","Kidney glomerulus","C57BL/6J","294s_G5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892672","SRR12892672","RNA-Seq",51,"SAMN16545472","SRX9357926","GSM4856641","Kidney glomerulus","C57BL/6J","682s_H3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892673","SRR12892673","RNA-Seq",51,"SAMN16545469","SRX9357927","GSM4856642","Kidney glomerulus","C57BL/6J","298s_A24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892674","SRR12892674","RNA-Seq",51,"SAMN16545468","SRX9357928","GSM4856643","Kidney glomerulus","C57BL/6J","811s_G12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892675","SRR12892675","RNA-Seq",51,"SAMN16545467","SRX9357929","GSM4856644","Kidney glomerulus","C57BL/6J","814s_F5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892676","SRR12892676","RNA-Seq",51,"SAMN16545466","SRX9357930","GSM4856645","Kidney glomerulus","C57BL/6J","294s_G8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892677","SRR12892677","RNA-Seq",51,"SAMN16545465","SRX9357931","GSM4856646","Kidney glomerulus","C57BL/6J","682s_D8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892678","SRR12892678","RNA-Seq",51,"SAMN16545471","SRX9357932","GSM4856647","Kidney glomerulus","C57BL/6J","814s_B7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892679","SRR12892679","RNA-Seq",51,"SAMN16545470","SRX9357981","GSM4856648","Kidney glomerulus","C57BL/6J","814s_G1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892680","SRR12892680","RNA-Seq",51,"SAMN16545463","SRX9357982","GSM4856649","Kidney glomerulus","C57BL/6J","555s_E9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892681","SRR12892681","RNA-Seq",51,"SAMN16545462","SRX9357983","GSM4856650","Kidney glomerulus","C57BL/6J","682s_O13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892682","SRR12892682","RNA-Seq",51,"SAMN16545461","SRX9357984","GSM4856651","Kidney glomerulus","C57BL/6J","812s_H14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892683","SRR12892683","RNA-Seq",51,"SAMN16545460","SRX9357985","GSM4856652","Kidney glomerulus","C57BL/6J","813s_I7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892684","SRR12892684","RNA-Seq",51,"SAMN16545459","SRX9357986","GSM4856653","Kidney glomerulus","C57BL/6J","299s_P17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892685","SRR12892685","RNA-Seq",51,"SAMN16545464","SRX9357987","GSM4856654","Kidney glomerulus","C57BL/6J","811s_O2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892686","SRR12892686","RNA-Seq",51,"SAMN16546333","SRX9358004","GSM4856040","Kidney glomerulus","C57BL/6J","812s_F13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892687","SRR12892687","RNA-Seq",51,"SAMN16546332","SRX9358005","GSM4856041","Kidney glomerulus","C57BL/6J","811s_C12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892688","SRR12892688","RNA-Seq",51,"SAMN16546327","SRX9358006","GSM4856042","Kidney glomerulus","C57BL/6J","682s_I5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892689","SRR12892689","RNA-Seq",51,"SAMN16546331","SRX9358007","GSM4856043","Kidney glomerulus","C57BL/6J","121s_D11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892690","SRR12892690","RNA-Seq",51,"SAMN16546330","SRX9358008","GSM4856044","Kidney glomerulus","C57BL/6J","121s_C15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892691","SRR12892691","RNA-Seq",51,"SAMN16546329","SRX9358009","GSM4856045","Kidney glomerulus","C57BL/6J","294s_C6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892692","SRR12892692","RNA-Seq",51,"SAMN16546328","SRX9358010","GSM4856046","Kidney glomerulus","C57BL/6J","812s_K11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892693","SRR12892693","RNA-Seq",51,"SAMN16546326","SRX9358011","GSM4856047","Kidney glomerulus","C57BL/6J","294s_D22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892694","SRR12892694","RNA-Seq",51,"SAMN16546325","SRX9358012","GSM4856048","Kidney glomerulus","C57BL/6J","555s_J10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892695","SRR12892695","RNA-Seq",51,"SAMN16546324","SRX9358013","GSM4856049","Kidney glomerulus","C57BL/6J","813s_E1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892696","SRR12892696","RNA-Seq",51,"SAMN16546323","SRX9358014","GSM4856050","Kidney glomerulus","C57BL/6J","811s_B1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892697","SRR12892697","RNA-Seq",51,"SAMN16546322","SRX9358015","GSM4856051","Kidney glomerulus","C57BL/6J","812s_F1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892698","SRR12892698","RNA-Seq",51,"SAMN16546321","SRX9358016","GSM4856052","Kidney glomerulus","C57BL/6J","299s_M22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892699","SRR12892699","RNA-Seq",51,"SAMN16546320","SRX9358017","GSM4856053","Kidney glomerulus","C57BL/6J","811s_A21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892700","SRR12892700","RNA-Seq",51,"SAMN16546319","SRX9358018","GSM4856054","Kidney glomerulus","C57BL/6J","814s_C11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892701","SRR12892701","RNA-Seq",51,"SAMN16546318","SRX9358019","GSM4856055","Kidney glomerulus","C57BL/6J","814s_H7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892702","SRR12892702","RNA-Seq",51,"SAMN16546317","SRX9358116","GSM4856056","Kidney glomerulus","C57BL/6J","298s_E12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892703","SRR12892703","RNA-Seq",51,"SAMN16546316","SRX9358117","GSM4856057","Kidney glomerulus","C57BL/6J","812s_K23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892704","SRR12892704","RNA-Seq",51,"SAMN16546315","SRX9358118","GSM4856058","Kidney glomerulus","C57BL/6J","813s_C7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892705","SRR12892705","RNA-Seq",51,"SAMN16546314","SRX9358119","GSM4856059","Kidney glomerulus","C57BL/6J","811s_O17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892706","SRR12892706","RNA-Seq",51,"SAMN16546313","SRX9358120","GSM4856060","Kidney glomerulus","C57BL/6J","813s_C22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892707","SRR12892707","RNA-Seq",51,"SAMN16546312","SRX9358121","GSM4856061","Kidney glomerulus","C57BL/6J","814s_E5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892708","SRR12892708","RNA-Seq",51,"SAMN16546311","SRX9358122","GSM4856062","Kidney glomerulus","C57BL/6J","294s_J24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892709","SRR12892709","RNA-Seq",51,"SAMN16546421","SRX9358123","GSM4856063","Kidney glomerulus","C57BL/6J","121s_G18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892710","SRR12892710","RNA-Seq",51,"SAMN16546419","SRX9358124","GSM4856064","Kidney glomerulus","C57BL/6J","196s_O20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892711","SRR12892711","RNA-Seq",51,"SAMN16546420","SRX9358125","GSM4856065","Kidney glomerulus","C57BL/6J","299s_B7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892712","SRR12892712","RNA-Seq",51,"SAMN16546418","SRX9358126","GSM4856066","Kidney glomerulus","C57BL/6J","813s_O21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892713","SRR12892713","RNA-Seq",51,"SAMN16546417","SRX9358127","GSM4856067","Kidney glomerulus","C57BL/6J","196s_K21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892714","SRR12892714","RNA-Seq",51,"SAMN16546416","SRX9358128","GSM4856068","Kidney glomerulus","C57BL/6J","814s_D3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892715","SRR12892715","RNA-Seq",51,"SAMN16546413","SRX9358129","GSM4856069","Kidney glomerulus","C57BL/6J","298s_E8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892716","SRR12892716","RNA-Seq",51,"SAMN16546412","SRX9358130","GSM4856070","Kidney glomerulus","C57BL/6J","298s_E5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892717","SRR12892717","RNA-Seq",51,"SAMN16546411","SRX9358131","GSM4856071","Kidney glomerulus","C57BL/6J","294s_D3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892718","SRR12892718","RNA-Seq",51,"SAMN16546415","SRX9357533","GSM4856072","Kidney glomerulus","C57BL/6J","196s_M5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892719","SRR12892719","RNA-Seq",51,"SAMN16546414","SRX9357534","GSM4856073","Kidney glomerulus","C57BL/6J","121s_E1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892720","SRR12892720","RNA-Seq",51,"SAMN16546410","SRX9357535","GSM4856074","Kidney glomerulus","C57BL/6J","298s_I11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892721","SRR12892721","RNA-Seq",51,"SAMN16546409","SRX9357536","GSM4856075","Kidney glomerulus","C57BL/6J","121s_E20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892722","SRR12892722","RNA-Seq",51,"SAMN16546408","SRX9357537","GSM4856076","Kidney glomerulus","C57BL/6J","813s_M15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892723","SRR12892723","RNA-Seq",51,"SAMN16546407","SRX9357538","GSM4856077","Kidney glomerulus","C57BL/6J","294s_C14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892724","SRR12892724","RNA-Seq",51,"SAMN16546406","SRX9357539","GSM4856078","Kidney glomerulus","C57BL/6J","814s_G5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892725","SRR12892725","RNA-Seq",51,"SAMN16546405","SRX9357540","GSM4856079","Kidney glomerulus","C57BL/6J","294s_O11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892726","SRR12892726","RNA-Seq",51,"SAMN16546404","SRX9357541","GSM4856080","Kidney glomerulus","C57BL/6J","812s_D22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892727","SRR12892727","RNA-Seq",51,"SAMN16546403","SRX9357542","GSM4856081","Kidney glomerulus","C57BL/6J","294s_P4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892728","SRR12892728","RNA-Seq",51,"SAMN16546402","SRX9357543","GSM4856082","Kidney glomerulus","C57BL/6J","196s_L12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892729","SRR12892729","RNA-Seq",51,"SAMN16546401","SRX9357544","GSM4856083","Kidney glomerulus","C57BL/6J","682s_G7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892730","SRR12892730","RNA-Seq",51,"SAMN16546400","SRX9357545","GSM4856084","Kidney glomerulus","C57BL/6J","121s_B4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892731","SRR12892731","RNA-Seq",51,"SAMN16546399","SRX9357546","GSM4856085","Kidney glomerulus","C57BL/6J","294s_M19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892732","SRR12892732","RNA-Seq",51,"SAMN16546398","SRX9357547","GSM4856086","Kidney glomerulus","C57BL/6J","294s_E10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892733","SRR12892733","RNA-Seq",51,"SAMN16546397","SRX9357548","GSM4856087","Kidney glomerulus","C57BL/6J","294s_I7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892734","SRR12892734","RNA-Seq",51,"SAMN16546396","SRX9357629","GSM4856088","Kidney glomerulus","C57BL/6J","298s_J8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892735","SRR12892735","RNA-Seq",51,"SAMN16546395","SRX9357630","GSM4856089","Kidney glomerulus","C57BL/6J","299s_A5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892736","SRR12892736","RNA-Seq",51,"SAMN16546394","SRX9357631","GSM4856090","Kidney glomerulus","C57BL/6J","555s_E11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892737","SRR12892737","RNA-Seq",51,"SAMN16546393","SRX9357632","GSM4856091","Kidney glomerulus","C57BL/6J","812s_G9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892738","SRR12892738","RNA-Seq",51,"SAMN16546392","SRX9357633","GSM4856092","Kidney glomerulus","C57BL/6J","298s_M18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892739","SRR12892739","RNA-Seq",51,"SAMN16546391","SRX9357634","GSM4856093","Kidney glomerulus","C57BL/6J","811s_J1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892740","SRR12892740","RNA-Seq",51,"SAMN16546390","SRX9357635","GSM4856094","Kidney glomerulus","C57BL/6J","682s_N14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892741","SRR12892741","RNA-Seq",51,"SAMN16546389","SRX9357636","GSM4856095","Kidney glomerulus","C57BL/6J","682s_E11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892742","SRR12892742","RNA-Seq",51,"SAMN16546388","SRX9357637","GSM4856096","Kidney glomerulus","C57BL/6J","298s_E19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892743","SRR12892743","RNA-Seq",51,"SAMN16546387","SRX9357638","GSM4856097","Kidney glomerulus","C57BL/6J","294s_E12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892744","SRR12892744","RNA-Seq",51,"SAMN16546386","SRX9357639","GSM4856098","Kidney glomerulus","C57BL/6J","121s_L19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892745","SRR12892745","RNA-Seq",51,"SAMN16546385","SRX9357640","GSM4856099","Kidney glomerulus","C57BL/6J","813s_C1","mouse_glom_single_cell_unbiased_rpkms.txt"
